No.,브랜드명,상품명,리뷰 계정명,별점,날짜,리뷰 내용,출처 웹사이트
1,hankook,dynapro hpx,Juan,5,2026-03-19,"Buena marca
buena marca a diferencia de KUMHO",norauto.it
2,hankook,dynapro hpx,Peter M,5,2026-03-12,Made my 2020 Honda CRV into a cadi. No road noise. Great tires for the price.,tirebros24.com
3,hankook,dynapro hpx,Audra,5,2026-03-12,"Great staff
Staff was exceptional. Held my tires until I could get wheel locks taken off. Tires are working well.",lesschwab.com
4,hankook,dynapro hpx,j_losxrhfj,5,2026-02-09,"รูปลักษณ์:สวยงามตามแบรนด์ฮันกุก
ใช้ดีมากครับ ยางไม่ลื่นเลย ไม่เหิน ราคาดีคุ้มค่า ใส่ crv ครับ",shopee.co.th
5,hankook,dynapro hpx,Dan B,5,2026-02-09,"Impressive customer service
Extremely fast shipping and the product was in great shape.",tirebros24.com
6,hankook,dynapro hpx,,5,2026-02-09,"ประสิทธิภาพ:ดีมาก เกาหลี
บางนุ่มเงียบมากครับ คุ้มราคา",shopee.co.th
7,hankook,Ventus S1 AS,Michelle A,5,2026-02-09,,
8,hankook,Ventus S1 AS,Kimberly,1,2026-02-09,The tire wanst the problem. I love the brand but I dont love walmart. This is the second time I have ordered tires and they were on delay for a week and I was told they have no clue where they are and to get a refund. its crazy to me how they have no way of checking the location of the statues.,walmart.com
9,hankook,Ventus S1 AS,John K.,5,2026-02-09,"After order how soon can
After order how soon can l get the tire ?",prioritytire.com
10,hankook,dynapro hpx,amanda,4,2026-01-09,Other than delayed shipping causing me to ride on a donut tire I finally scheduled installation Wednesday 12/10 8-9 am,walmart.com
11,hankook,Ventus S1 AS,olivier,5,2026-01-09,conforme à la commande,mecazen.fr
12,hankook,dynapro hpx,jakkarinnakrai,5,2025-12-09,ยางดี ปีใหม่ นุ่มเงียบ ประหยัดไปได้เยอะ,shopee.co.th
13,hankook,Ventus S1 AS,Everything was great.,5,2025-12-09,Everything was great.,walmart.com
14,hankook,Ventus S1 AS,Brian S,5,2025-12-09,Tires handle very well,tirebros24.com
15,hankook,Ventus S1 AS,All season very quiet,5,2025-12-09,All season very quiet,prioritytire.com
16,hankook,dynapro hpx,บริการ​ดี​ นัดไปติดตั้งที่ร้านได้​ ทัก​ chat​ ไปก่อน,5,2025-11-09,บริการ​ดี​ นัดไปติดตั้งที่ร้านได้​ ทัก​ chat​ ไปก่อน,shopee.co.th
17,hankook,dynapro hpx,Shannon,3,2025-11-09,"Leaking air in one tire
I need to come back in this week, because leaking air after having 4 new tires put on.",walmart.com
18,hankook,dynapro hpx,Muy buenas llantas perfectas,5,2025-11-09,Muy buenas llantas perfectas,walmart.com
19,hankook,dynapro hpx,Kegunaan:mobil mazda cx 5,5,2025-11-09,"Kegunaan:mobil mazda cx 5
Durabilitas:semoga awet ya ka belum di pasang di mobil",shopee.co.id
20,hankook,dynapro hpx,Good tires at fair price! Jaguar E-Pace 2017 P300 296hp,5,2025-11-09,"Good tires at fair price! Jaguar E-Pace 2017 P300 296hp
These hankook tires are exceptional for all seasons. Highly recommend them!",neotires.com
21,hankook,dynapro hpx,Dawn,2,2025-11-09,"Sidewall issue
I am issuing the negative review due to what I believe is a quality issue when a 1/2 inch screw in the sidewall caused me to have to replace the entire tire. Even with the road hazard through Walmart, still cost me $40. The tire was maybe one year old. Hankook will be notified of my dissatisfaction. I see no sidewall ratings on tires, but maybe there should be.",walmart.com
22,hankook,dynapro hpx,BRACQ,5,2025-11-09,"Procédure en cours
Je laisserai l'avis pour les pneus et vous laisse libre de méditer sur la procédure en cours au centre Norauto de Saint Malo 35.",norauto.it
23,hankook,Ventus S1 AS,Good tires BMW Z4 2016 sDrive35i 300hp,5,2025-11-09,"Good tires BMW Z4 2016 sDrive35i 300hp
These hankook tires feel great on the road, and the ride is smooth. They offer great mileage, I already put 45k miles, but should mention that I rotated every season.",neotires.com
24,hankook,Ventus S1 AS,David N,3,2025-11-09,"really good traction, quiet, good fuel economy.",blackcircles.ca
25,hankook,dynapro hpx,bon confort de route,5,2025-10-09,bon confort de route,speedy.fr
26,hankook,dynapro hpx,Senior on the Go,4,2025-09-09,,
27,hankook,dynapro hpx,Hervé,5,2025-09-09,Bien,carter-cash.com
28,hankook,dynapro hpx,,5,2025-09-09,"รูปลักษณ์:ดูดี
ประสิทธิภาพ:ใช้ได้นะ
ได้รับสินค้าแล้ว เรียบร้อยดี ร้านค้าบริการดี ยางเกาหลีปลายปี2024 เป็นยางดอกวิ่งถนน คุณภาพโอเคเลยสำหรับราคานี้ แน่นอนว่าถ้าเทียบกับเกรดสูงๆอาจด้อยกว่าบ้าง ถือว่าคุ้มค่า",shopee.co.th
29,hankook,Ventus S1 AS,Amanda,5,2025-09-09,,
30,hankook,dynapro hpx,Tabitha,5,2025-08-09,These tires are hood quality tires. A little on the pricey side. Wish the Walmart technicians new more what they were doing when it comes to installing them.,walmart.com
31,hankook,Ventus S1 AS,Gaye,5,2025-07-09,"Fantastic Tires and Excellent Service!
I purchased these tires because I wasn't happy with the brand i had been using for a while. I love these tires! I will also say that dealing with the automotive department at Walmart was a great experience. They were knowledgable, informative, and efficient. I will return when my front tires need to be replaced.",walmart.com
32,hankook,Ventus S1 AS,Gabriela,5,2025-07-09,"Gotta try them! Well worth your $$$ %26 savings
This is the second set of Hankook tires I get and well worth the cost. I’d never change the original tires the car had since I purchased the car in May 2021 until now. Talk about durability! Hankook has been the way to go with all our car tires. Give’em a try! You won’t be disappointed.",walmart.com
33,hankook,Ventus S1 AS,"Thanks for the fast delivery, NeoTires :) Tesla Model Y 2023 Long Range 346hp",4,2025-06-09,"Thanks for the fast delivery, NeoTires :) Tesla Model Y 2023 Long Range 346hp
No additional comments.",neotires.com
34,hankook,Ventus S1 AS,MATTHEW,5,2025-06-09,"Great tires for our tesla Y, much better than rhe original tires.",walmart.com
35,hankook,Ventus S1 AS,Adri S.,5,2025-06-09,"Très très très SATISFAIT
Service courtois rapide et très professionnel, entretien de frein TESLA fait beaucoup mieux qu’au concessionnaire, à prix moindre évidemment.",goevparts.ca
36,hankook,dynapro hpx,Jim,5,2025-05-09,"Would order again
Easy to order online. Good tire %26 great service picking it up.",walmart.com
37,hankook,dynapro hpx,Google Customer Reviews Shopper,5,2025-05-09,"gode dæk
Reviewed on Google Customer Reviews",
38,hankook,dynapro hpx,Good deal Honda CR-V 2018 1.5 T Touring 190hp,5,2025-05-09,"Good deal Honda CR-V 2018 1.5 T Touring 190hp
I ordered a set of these tires 3 days ago and the delivery was yesterday. Everything was great, and big respect to David from customer support for his responsiveness and help.",neotires.com
39,hankook,Ventus S1 AS,lorusso m.,5,2025-05-09,Prodotti ok. Prezzi Competitivi. Migliorate la comunicazione e siete Top.,sostyre.com
40,hankook,Ventus S1 AS,david,5,2025-05-09,great product,walmart.com
41,hankook,Ventus S1 AS,William S.,5,2025-05-09,"Quick and great price.
Quick and great price.",prioritytire.com
42,hankook,Ventus S1 AS,Shivani,5,2025-05-09,"Looks great, seems like value for money
Looks good, looking forward to getting them installed and see how they perform.",walmart.com
43,hankook,Ventus S1 AS,Robert,5,2025-05-09,"Highly recommended tire, good price, smooth ride, hope they last forever",walmart.com
44,hankook,Ventus S1 AS,Max S.,5,2025-05-09,"Tires work
Bought previous tires before and have been happy with purchase",prioritytire.com
45,hankook,Ventus S1 AS,Good tires Tesla Model 3 2019 Mid Range 283hp,5,2025-05-09,"Good tires Tesla Model 3 2019 Mid Range 283hp
I have been using this model for a year, they are efficient and long-lasting tires, good choice.",neotires.com
46,hankook,Ventus S1 AS,Excellent choose Toyota RAV4 2018 2.5 Limited 194hp,5,2025-05-09,"Excellent choose Toyota RAV4 2018 2.5 Limited 194hp
Best all-season tires for hybrids, smooth and fuel efficient tires, recommend",neotires.com
47,hankook,dynapro hpx,robert t.,5,2024-04-09,"Tires are great..
Tires are great..",prioritytire.com
